sample_id,reason,word,start_s,end_s,score,face_frame_fraction
-NFrJFQijFE$_$1,low_ctc_confidence,have,1.2642,1.4448,0.0238,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,to,1.6455,1.7258,0.0079,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,be,1.8863,1.9666,0.0209,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,properly,2.0468,2.3478,0.0135,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,stress,2.3679,2.5886,0.0157,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,analyzed,2.7291,2.9298,0.019,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,so,2.9498,2.99,0.0025,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,we,3.0301,3.0702,0.0161,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,make,3.1104,3.1906,0.0073,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,sure,3.2308,3.4114,0.0073,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,all,3.4515,3.5719,0.0166,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,that,3.6522,3.7324,0.0141,0.0
-NFrJFQijFE$_$1,low_ctc_confidence,happens,3.8127,4.0335,0.0087,0.0
-NFrJFQijFE$_$1,low_face_coverage,,,,,0.0
-NFrJFQijFE$_$2,low_ctc_confidence,So,0.6618,1.8049,0.0006,0.0
-NFrJFQijFE$_$2,low_ctc_confidence,we,1.9453,2.0456,0.0006,0.0
-NFrJFQijFE$_$2,low_ctc_confidence,coordinate,2.1459,2.4066,0.003,0.0
-NFrJFQijFE$_$2,low_ctc_confidence,with,2.4266,2.5069,0.0051,0.0
-NFrJFQijFE$_$2,low_ctc_confidence,all,2.5269,2.6071,0.0017,0.0
-NFrJFQijFE$_$2,low_ctc_confidence,the,2.6472,2.7475,0.0486,0.0
-NFrJFQijFE$_$2,low_ctc_confidence,proper,2.7676,2.908,0.0072,0.0
-NFrJFQijFE$_$2,low_ctc_confidence,fields,4.1112,4.2917,0.0069,0.0
-NFrJFQijFE$_$2,low_ctc_confidence,get,4.392,4.4522,0.0008,0.0
-NFrJFQijFE$_$2,low_ctc_confidence,for,4.6928,4.753,0.0084,0.0
-NFrJFQijFE$_$2,low_ctc_confidence,the,4.773,4.8533,0.0021,0.0
-NFrJFQijFE$_$2,low_ctc_confidence,here,6.598,6.6983,0.0258,0.0
-NFrJFQijFE$_$2,low_face_coverage,,,,,0.0
-qDkUB0GgYY$_$6,low_ctc_confidence,video,3.451,3.5714,0.0152,1.0
-qDkUB0GgYY$_$6,crop_face_identity_review,,,,,1.0
-RfYyzHpjk4$_$2,low_ctc_confidence,it,1.6837,1.7238,0.0017,0.982
-RfYyzHpjk4$_$2,low_ctc_confidence,do.,5.2715,5.3718,0.0064,0.982
-ri04Z7vwnc$_$0,low_ctc_confidence,going,0.0202,0.1815,0.0535,0.0
-ri04Z7vwnc$_$0,low_ctc_confidence,get,0.4236,0.5244,0.0239,0.0
-ri04Z7vwnc$_$0,low_ctc_confidence,or,2.0371,2.0775,0.0097,0.0
-ri04Z7vwnc$_$0,low_ctc_confidence,are,2.2187,2.2792,0.003,0.0
-ri04Z7vwnc$_$0,low_ctc_confidence,already,2.2993,2.4405,0.0512,0.0
-ri04Z7vwnc$_$0,low_ctc_confidence,married,2.4607,2.7633,0.0187,0.0
-ri04Z7vwnc$_$0,low_face_coverage,,,,,0.0
-ri04Z7vwnc$_$2,low_ctc_confidence,most,0.0401,0.3207,0.0116,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,people,0.421,0.8018,0.0467,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,think,0.902,1.1025,0.0073,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,sort,1.9244,2.7462,0.0818,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,itself,2.7663,2.8865,0.0012,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,"out,",2.9467,3.0268,0.0141,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,"""we'll",3.1872,3.528,0.0085,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,discuss,3.548,3.7685,0.0118,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,it,3.7886,3.8287,0.0005,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,"later,""",3.8487,3.989,0.0437,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,it's,4.3498,4.4701,0.0463,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,not,4.4902,4.8911,0.0001,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,too,5.1316,5.2719,0.0002,0.354
-ri04Z7vwnc$_$2,low_ctc_confidence,important,5.3722,5.5726,0.0036,0.354
-ri04Z7vwnc$_$2,low_face_coverage,,,,,0.354
-ri04Z7vwnc$_$5,unsupported_ctc_text,"""",,,,1.0
-ri04Z7vwnc$_$5,low_ctc_confidence,I,0.7845,0.8046,0.0004,1.0
-ri04Z7vwnc$_$5,low_ctc_confidence,think,0.8851,1.0661,0.0,1.0
-ri04Z7vwnc$_$5,low_ctc_confidence,it's,1.1265,1.2874,0.0006,1.0
-ri04Z7vwnc$_$5,low_ctc_confidence,finances,2.9167,3.3392,0.0248,1.0
-s9qJ7ATP7w$_$0,low_ctc_confidence,they,0.02,0.1002,0.0856,0.986
-s9qJ7ATP7w$_$0,possible_face_switch,,2.2,,,0.986
-s9qJ7ATP7w$_$5,low_ctc_confidence,I,0.4009,0.4209,0.0003,1.0
-s9qJ7ATP7w$_$7,low_ctc_confidence,who,2.1659,2.226,0.0439,0.543
-s9qJ7ATP7w$_$7,low_ctc_confidence,to,3.6499,3.69,0.0005,0.543
-s9qJ7ATP7w$_$7,possible_face_switch,,3.2,,,0.543
-s9qJ7ATP7w$_$7,possible_face_switch,,6.4,,,0.543
-s9qJ7ATP7w$_$8,unsupported_ctc_text,"""",,,,0.879
-s9qJ7ATP7w$_$8,possible_face_switch,,0.6,,,0.879
-s9qJ7ATP7w$_$8,possible_face_switch,,3.2333,,,0.879
-tANM6ETl_M$_$3,low_ctc_confidence,or,5.0782,5.1183,0.0,1.0
-THoVjtIkeU$_$6,low_ctc_confidence,that,0.7421,0.8224,0.0,1.0
-THoVjtIkeU$_$6,low_ctc_confidence,I,0.8625,0.8825,0.0,1.0
-tPCytz4rww$_$12,low_ctc_confidence,going,2.6837,2.8039,0.0597,1.0
-tPCytz4rww$_$12,low_ctc_confidence,to,2.8239,2.884,0.0016,1.0
-UacrmKiTn4$_$10,crop_face_identity_review,,,,,1.0
-UacrmKiTn4$_$4,crop_face_identity_review,,,,,1.0
-UUCSKoHeMA$_$0,crop_face_identity_review,,,,,0.987
-UuX1xuaiiE$_$0,low_ctc_confidence,^it's,0.0402,0.1808,0.0,0.946
-UuX1xuaiiE$_$0,crop_face_identity_review,,,,,0.946
-UuX1xuaiiE$_$0,possible_face_switch,,1.9,,,0.946
-UuX1xuaiiE$_$1,crop_face_identity_review,,,,,0.952
-UuX1xuaiiE$_$1,possible_face_switch,,4.3,,,0.952
-UuX1xuaiiE$_$1,possible_face_switch,,10.1,,,0.952
-UuX1xuaiiE$_$3,possible_face_switch,,0.5,,,0.927
-UuX1xuaiiE$_$3,possible_face_switch,,3.8,,,0.927
-UuX1xuaiiE$_$6,low_ctc_confidence,and,6.4393,6.4995,0.0131,0.963
-UuX1xuaiiE$_$6,possible_face_switch,,0.2,,,0.963
-UuX1xuaiiE$_$6,possible_face_switch,,0.7,,,0.963
-vxjVxOeScU$_$4,low_ctc_confidence,You're,0.0,0.1202,0.0157,1.0
-vxjVxOeScU$_$4,low_ctc_confidence,going,0.5811,0.7013,0.0743,1.0
-wny0OAz3g8$_$1,unsupported_ctc_text,–,,,,0.971
-wny0OAz3g8$_$1,crop_face_identity_review,,,,,0.971
-wny0OAz3g8$_$1,possible_face_switch,,0.6,,,0.971
-wny0OAz3g8$_$3,possible_face_switch,,2.5,,,0.645
-wny0OAz3g8$_$3,possible_face_switch,,5.6,,,0.645
-wny0OAz3g8$_$5,crop_face_identity_review,,,,,0.971
-wny0OAz3g8$_$5,possible_face_switch,,0.6,,,0.971
-wny0OAz3g8$_$7,possible_face_switch,,0.9,,,0.938
-wny0OAz3g8$_$9,low_ctc_confidence,He,0.0803,0.3815,0.001,0.903
-wny0OAz3g8$_$9,possible_face_switch,,0.5,,,0.903
-wny0OAz3g8$_$9,possible_face_switch,,5.8,,,0.903
-yRb-Jum7EQ$_$1,low_ctc_confidence,and,6.9623,7.0824,0.0047,0.962
-yRb-Jum7EQ$_$1,low_ctc_confidence,and,8.4028,8.5429,0.0049,0.962
-yRb-Jum7EQ$_$1,low_ctc_confidence,shows,17.5859,17.6859,0.007,0.962
-yRb-Jum7EQ$_$1,low_ctc_confidence,the,19.0864,19.1464,0.0023,0.962
-yRb-Jum7EQ$_$1,low_ctc_confidence,nuclear,19.1864,19.3265,0.0768,0.962
-yRb-Jum7EQ$_$1,low_ctc_confidence,including,23.0677,24.008,0.0298,0.962
-yRb-Jum7EQ$_$1,low_ctc_confidence,its,27.6092,27.7093,0.0385,0.962
-yRb-Jum7EQ$_$1,low_ctc_confidence,to,28.2094,28.2895,0.004,0.962
-yRb-Jum7EQ$_$1,possible_face_switch,,6.6,,,0.962
-yRb-Jum7EQ$_$5,low_ctc_confidence,Yesterday,0.1202,0.4809,0.0815,1.0
-yRb-Jum7EQ$_$5,low_ctc_confidence,lost,1.4828,1.7433,0.018,1.0
-yRb-Jum7EQ$_$5,low_ctc_confidence,terrorist,4.8491,5.31,0.0991,1.0
-yRb-Jum7EQ$_$5,low_ctc_confidence,by,6.6325,6.7327,0.0056,1.0
-yRb-Jum7EQ$_$5,low_ctc_confidence,the,7.434,7.5342,0.0539,1.0
-yRb-Jum7EQ$_$5,low_ctc_confidence,students,7.5943,8.1554,0.0484,1.0
-yRb-Jum7EQ$_$5,low_ctc_confidence,of,8.1954,8.2956,0.0009,1.0
-yRb-Jum7EQ$_$5,low_ctc_confidence,by,9.2174,9.2975,0.0102,1.0
-yRb-Jum7EQ$_$5,low_ctc_confidence,who,9.8385,9.8986,0.0022,1.0
-yRb-Jum7EQ$_$5,low_ctc_confidence,a,11.141,11.161,0.0229,1.0
-yRb-Jum7EQ$_$6,low_ctc_confidence,the,0.7415,0.8216,0.0127,1.0
-yRb-Jum7EQ$_$6,low_ctc_confidence,needs,1.0421,1.1623,0.0026,1.0
-yRb-Jum7EQ$_$6,low_ctc_confidence,with,1.7836,2.004,0.0051,1.0
-yRb-Jum7EQ$_$6,low_ctc_confidence,is,7.1143,7.1944,0.0035,1.0
-yRb-Jum7EQ$_$6,low_ctc_confidence,of,10.461,10.5011,0.0718,1.0
-yRb-Jum7EQ$_$6,low_ctc_confidence,terrorism.,10.5211,11.0021,0.0205,1.0
