sample_id,visual_mode,old_face_frames,new_face_frames,sampled_frames,gained_frames,lost_frames,old_vision_valid_tokens,new_vision_valid_tokens,unresolved_words,manual_face_review,video_path
-I_e4mIh0yE$_$3,original,91,91,91,0,0,30,30,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-I_e4mIh0yE\3.mp4
-iRBcNs9oI8$_$3,center_crop_0.7,0,56,56,56,0,0,7,2,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\3.mp4
-iRBcNs9oI8$_$6,center_crop_0.7,0,29,29,29,0,0,3,2,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\6.mp4
-iRBcNs9oI8$_$7,center_crop_0.7,0,41,41,41,0,0,13,2,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\7.mp4
-iRBcNs9oI8$_$8,center_crop_0.7,0,81,81,81,0,0,20,5,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\8.mp4
-iRBcNs9oI8$_$9,center_crop_0.7,0,23,34,23,0,0,4,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\9.mp4
-lzEya4AM_4$_$5,center_crop_0.7,0,77,77,77,0,0,20,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\5.mp4
-lzEya4AM_4$_$6,center_crop_0.7,0,148,148,148,0,0,47,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\6.mp4
-MeTTeMJBNc$_$0,center_crop_0.7,0,93,94,93,0,0,26,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-MeTTeMJBNc\0.mp4
-MeTTeMJBNc$_$13,center_crop_0.7,0,54,54,54,0,0,16,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-MeTTeMJBNc\13.mp4
-MeTTeMJBNc$_$7,center_crop_0.7,0,105,105,105,0,0,33,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-MeTTeMJBNc\7.mp4
-mJ2ud6oKI8$_$1,original,0,0,61,0,0,0,0,13,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4
-mJ2ud6oKI8$_$2,original,0,0,57,0,0,0,0,11,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4
-mJ2ud6oKI8$_$6,original,23,23,23,0,0,5,5,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\6.mp4
-mJ2ud6oKI8$_$8,original,42,42,42,0,0,7,7,4,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\8.mp4
-mJ2ud6oKI8$_$9,original,68,68,70,0,0,23,23,5,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\9.mp4
-mqbVkbCndg$_$0,original,65,65,65,0,0,17,17,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mqbVkbCndg\0.mp4
-NFrJFQijFE$_$1,original,0,0,48,0,0,0,0,16,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\1.mp4
-NFrJFQijFE$_$2,original,0,0,57,0,0,0,0,12,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\2.mp4
-qDkUB0GgYY$_$6,center_crop_0.7,0,47,47,47,0,0,17,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-qDkUB0GgYY\6.mp4
-RfYyzHpjk4$_$11,original,52,52,52,0,0,19,19,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-RfYyzHpjk4\11.mp4
-RfYyzHpjk4$_$2,original,54,54,55,0,0,26,26,2,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-RfYyzHpjk4\2.mp4
-RfYyzHpjk4$_$8,original,46,46,46,0,0,21,21,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-RfYyzHpjk4\8.mp4
-ri04Z7vwnc$_$0,original,0,0,23,0,0,0,0,6,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-ri04Z7vwnc\0.mp4
-ri04Z7vwnc$_$2,original,17,17,48,0,0,1,1,14,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-ri04Z7vwnc\2.mp4
-ri04Z7vwnc$_$5,original,28,28,28,0,0,4,4,5,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-ri04Z7vwnc\5.mp4
-s9qJ7ATP7w$_$0,original,68,68,69,0,0,26,26,1,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-s9qJ7ATP7w\0.mp4
-s9qJ7ATP7w$_$1,original,48,48,48,0,0,12,12,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-s9qJ7ATP7w\1.mp4
-s9qJ7ATP7w$_$4,original,29,29,44,0,0,7,7,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-s9qJ7ATP7w\4.mp4
-s9qJ7ATP7w$_$5,original,85,85,85,0,0,19,19,1,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-s9qJ7ATP7w\5.mp4
-s9qJ7ATP7w$_$6,original,19,19,25,0,0,5,5,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-s9qJ7ATP7w\6.mp4
-s9qJ7ATP7w$_$7,original,38,38,70,0,0,18,18,2,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-s9qJ7ATP7w\7.mp4
-s9qJ7ATP7w$_$8,original,29,29,33,0,0,15,15,1,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-s9qJ7ATP7w\8.mp4
-t217m2on-s$_$2,original,57,57,57,0,0,16,16,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-t217m2on-s\2.mp4
-t217m2on-s$_$7,original,172,172,172,0,0,53,53,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-t217m2on-s\7.mp4
-tANM6ETl_M$_$3,original,67,67,67,0,0,28,28,1,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-tANM6ETl_M\3.mp4
-THoVjtIkeU$_$12,original,149,149,149,0,0,42,42,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\12.mp4
-THoVjtIkeU$_$2,original,43,43,43,0,0,11,11,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\2.mp4
-THoVjtIkeU$_$6,original,81,81,81,0,0,30,30,2,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\6.mp4
-tPCytz4rww$_$10,original,48,48,48,0,0,15,15,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-tPCytz4rww\10.mp4
-tPCytz4rww$_$11,original,55,55,55,0,0,20,20,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-tPCytz4rww\11.mp4
-tPCytz4rww$_$12,original,118,118,118,0,0,26,26,2,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-tPCytz4rww\12.mp4
-tPCytz4rww$_$16,original,72,72,72,0,0,17,17,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-tPCytz4rww\16.mp4
-tPCytz4rww$_$18,original,67,67,67,0,0,22,22,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-tPCytz4rww\18.mp4
-UacrmKiTn4$_$10,center_crop_0.7,0,73,73,73,0,0,22,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UacrmKiTn4\10.mp4
-UacrmKiTn4$_$4,center_crop_0.7,0,48,48,48,0,0,15,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UacrmKiTn4\4.mp4
-UUCSKoHeMA$_$0,center_crop_0.7,0,78,79,78,0,0,23,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UUCSKoHeMA\0.mp4
-UuX1xuaiiE$_$0,center_crop_0.5,18,35,37,17,0,5,8,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\0.mp4
-UuX1xuaiiE$_$1,center_crop_0.5,5,99,104,97,3,1,32,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\1.mp4
-UuX1xuaiiE$_$3,original,38,38,41,0,0,9,9,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\3.mp4
-UuX1xuaiiE$_$6,original,78,78,81,0,0,21,21,1,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\6.mp4
-uywlfIYOS8$_$4,original,60,60,60,0,0,22,22,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-uywlfIYOS8\4.mp4
-vxjVxOeScU$_$4,original,91,91,91,0,0,23,23,2,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-vxjVxOeScU\4.mp4
-wMB_hJL-3o$_$7,original,60,60,61,0,0,23,23,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wMB_hJL-3o\7.mp4
-wny0OAz3g8$_$0,original,28,28,34,0,0,11,11,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\0.mp4
-wny0OAz3g8$_$1,center_crop_0.7,28,67,69,39,0,8,26,1,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\1.mp4
-wny0OAz3g8$_$2,original,55,55,67,0,0,28,28,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\2.mp4
-wny0OAz3g8$_$3,original,40,40,62,0,0,11,11,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\3.mp4
-wny0OAz3g8$_$5,center_crop_0.7,13,67,69,54,0,2,27,0,True,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\5.mp4
-wny0OAz3g8$_$7,original,76,76,81,0,0,30,30,0,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\7.mp4
-wny0OAz3g8$_$9,original,56,56,62,0,0,21,21,1,False,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\9.mp4
